Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription,Shipping Type,Discount Applied,Promo Code,Previous Purchases,Payment Method,Frequency of Purchase
1,65,Female,Blouse,Clothing,77,Massachusetts,M,White,Winter,3.8,Yes,Express,Yes,Yes,29,Bank Transfer,Annually
2,30,Female,Pants,Clothing,71,Connecticut,XXL,Olive,Winter,4.3,Yes,Store Pickup,No,No,35,Cash,Fortnightly
3,23,Female,Handbag,Accessories,39,South Carolina,L,Brown,Summer,4.4,No,Two Day Shipping,Yes,No,10,Bank Transfer,Monthly
4,63,Male,Handbag,Accessories,26,Rhode Island,M,Gold,Winter,4.6,Yes,Standard,No,No,81,Credit Card,Fortnightly
5,31,Female,Socks,Accessories,33,Idaho,M,Yellow,Spring,2.5,No,Next Day Air,Yes,No,98,Venmo,Fortnightly
6,38,Female,Cardigan,Clothing,83,Pennsylvania,M,Orange,Summer,2.6,No,Standard,No,Yes,33,Cash,Fortnightly
7,75,Female,Socks,Accessories,107,Massachusetts,M,Green,Fall,2.3,Yes,Express,Yes,Yes,87,PayPal,Annually
8,42,Female,Skirt,Clothing,150,Indiana,XXL,Gray,Winter,4,No,Store Pickup,No,Yes,37,PayPal,Fortnightly
9,64,Female,Handbag,Outerwear,143,Vermont,M,Green,Winter,4.6,No,Store Pickup,Yes,Yes,47,Cash,Annually
10,38,Female,Tank Top,Clothing,19,Georgia,L,Gold,Spring,2.2,Yes,Express,No,Yes,97,Bank Transfer,Fortnightly
11,53,Male,Boots,Footwear,82,Kansas,XXL,Navy,Spring,4.8,Yes,Store Pickup,No,No,85,Debit Card,Monthly
12,25,Male,Socks,Outerwear,72,Pennsylvania,L,Gray,Spring,3.8,Yes,Express,Yes,Yes,8,Venmo,Monthly
13,33,Female,Pants,Clothing,139,Arizona,XXL,Charcoal,Fall,2.7,No,Standard,Yes,Yes,12,Debit Card,Quarterly
14,44,Female,Socks,Accessories,28,Montana,S,Maroon,Fall,4.2,Yes,Free Shipping,Yes,Yes,68,PayPal,Fortnightly
15,35,Female,Handbag,Outerwear,78,Pennsylvania,XL,Yellow,Winter,2.2,Yes,Express,Yes,Yes,52,PayPal,Quarterly
16,75,Male,Boots,Footwear,57,Louisiana,S,Black,Summer,4.8,No,Next Day Air,No,No,19,Cash,Monthly
17,55,Male,Sandals,Footwear,95,New York,S,Orange,Fall,3.5,Yes,Express,Yes,Yes,8,Bank Transfer,Weekly
18,25,Male,Boots,Footwear,25,Hawaii,S,Navy,Summer,4.8,Yes,Store Pickup,No,Yes,33,PayPal,Fortnightly
19,38,Male,Socks,Accessories,17,Utah,XXL,Orange,Winter,2.2,Yes,Two Day Shipping,No,Yes,44,Venmo,Fortnightly
20,28,Female,Socks,Accessories,92,Hawaii,XXL,Gray,Summer,4.8,Yes,Free Shipping,No,Yes,13,Debit Card,Annually
21,36,Male,Shoes,Footwear,102,Arizona,L,Green,Fall,2.8,Yes,Express,No,No,5,Venmo,Monthly
22,28,Female,Shoes,Footwear,124,New Mexico,S,White,Winter,4.8,Yes,Two Day Shipping,Yes,No,74,Bank Transfer,Fortnightly
23,20,Female,Handbag,Outerwear,108,Florida,L,Pink,Spring,4,No,Two Day Shipping,No,Yes,30,Cash,Fortnightly
24,29,Female,Handbag,Outerwear,120,Rhode Island,M,Olive,Spring,4.4,Yes,Standard,Yes,No,28,Cash,Quarterly
25,70,Male,Socks,Accessories,72,Texas,M,Black,Summer,2.8,Yes,Next Day Air,No,No,86,Bank Transfer,Monthly
26,74,Female,Sweater,Clothing,60,West Virginia,L,Maroon,Winter,3.8,No,Store Pickup,No,No,77,Bank Transfer,Weekly
27,34,Male,Handbag,Outerwear,126,California,XXL,Yellow,Spring,3.1,Yes,Store Pickup,No,No,84,Venmo,Bi-Weekly
28,60,Female,Socks,Accessories,98,Kentucky,L,Yellow,Spring,2.6,No,Store Pickup,Yes,No,51,Bank Transfer,Weekly
29,31,Female,Socks,Accessories,97,Utah,XL,Red,Spring,3.5,Yes,Store Pickup,Yes,No,65,Debit Card,Bi-Weekly
30,70,Male,Handbag,Accessories,94,Massachusetts,M,Charcoal,Winter,2.1,No,Two Day Shipping,Yes,No,53,Debit Card,Annually
31,49,Female,Boots,Footwear,77,Michigan,S,White,Fall,2.7,No,Express,Yes,Yes,58,Cash,Quarterly
